Figure 10. Approximated synthetic X-ray spectra with opacity effects at a viewing angle of 90° through atmosphere 1 from direct excitation collisions. Initial ion energies are 500 keV/u for both oxygen and sulfur precipitation and the input is 1 ion/cm^2/s for both species.  Photon energies below about 400 eV are shown to be much more affected by the opacity than higher photon energies.

 Total Production Rate:
                2.642E+02  6.879E+01  5.601E+01  1.278E+01  1.954E+02  1.090E+01  1.575E+01  1.639E+01  1.928E+01  3.119E+01  1.019E+02  2.973E-03

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      8.180E-10  0.000E+00  0.000E+00  0.000E+00  8.180E-10  8.180E-10  3.113E-17  7.228E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    101.00      1.107E-09  0.000E+00  0.000E+00  0.000E+00  1.107E-09  1.107E-09  4.741E-17  1.260E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    102.00      1.496E-09  0.000E+00  0.000E+00  0.000E+00  1.496E-09  1.496E-09  7.203E-17  2.088E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    103.00      2.015E-09  0.000E+00  0.000E+00  0.000E+00  2.015E-09  2.015E-09  1.092E-16  3.281E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    104.00      2.708E-09  0.000E+00  0.000E+00  0.000E+00  2.708E-09  2.708E-09  1.651E-16  5.141E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    105.00      3.630E-09  0.000E+00  0.000E+00  0.000E+00  3.630E-09  3.630E-09  2.489E-16  8.037E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    106.00      4.855E-09  0.000E+00  0.000E+00  0.000E+00  4.855E-09  4.855E-09  3.745E-16  1.253E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    107.00      6.477E-09  0.000E+00  0.000E+00  0.000E+00  6.477E-09  6.477E-09  5.620E-16  1.950E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    108.00      8.619E-09  0.000E+00  0.000E+00  0.000E+00  8.619E-09  8.619E-09  8.414E-16  3.025E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    109.00      1.144E-08  0.000E+00  0.000E+00  0.000E+00  1.144E-08  1.144E-08  1.256E-15  4.683E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    110.00      1.515E-08  0.000E+00  0.000E+00  0.000E+00  1.515E-08  1.515E-08  1.872E-15  7.231E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    111.00      2.001E-08  0.000E+00  0.000E+00  0.000E+00  2.001E-08  2.001E-08  2.781E-15  1.114E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    112.00      2.637E-08  0.000E+00  0.000E+00  0.000E+00  2.637E-08  2.637E-08  4.122E-15  1.711E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    113.00      3.466E-08  0.000E+00  0.000E+00  0.000E+00  3.466E-08  3.466E-08  6.095E-15  2.624E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    114.00      4.545E-08  0.000E+00  0.000E+00  0.000E+00  4.545E-08  4.545E-08  8.991E-15  4.013E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    115.00      5.946E-08  0.000E+00  0.000E+00  0.000E+00  5.946E-08  5.946E-08  1.323E-14  6.120E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    116.00      7.758E-08  0.000E+00  0.000E+00  0.000E+00  7.758E-08  7.758E-08  1.942E-14  9.313E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    117.00      1.010E-07  0.000E+00  0.000E+00  0.000E+00  1.010E-07  1.010E-07  2.843E-14  1.413E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    118.00      1.311E-07  0.000E+00  0.000E+00  0.000E+00  1.311E-07  1.311E-07  4.152E-14  2.139E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
