Figure 2. Oxygen charge state distribution as a function of ion energy.  The high charge state peaks have dramatically shifted to lower energies than previous models produced.  Houston et al. (2018) and Ozak et al. (2010) had the peak of O^{6+} at ∼900 keV/u; however, due to the use of newly developed SIM cross-sections, the peak has now shifted down to an energy of ∼350 keV/u.

 Energy [keV/u] ONeg      O         O+        O2+       O3+       O4+       O5+       O6+       O7+       O8+
   202.50       6.34E-07  2.35E-05  4.48E-04  7.06E-03  6.33E-02  2.56E-01  3.83E-01  2.86E-01  4.82E-03  3.11E-04
   207.50       3.72E-07  1.46E-05  3.29E-04  5.57E-03  5.39E-02  2.37E-01  3.88E-01  3.10E-01  5.89E-03  3.71E-04
   212.50       1.83E-07  9.03E-06  2.58E-04  4.51E-03  4.62E-02  2.19E-01  3.89E-01  3.34E-01  6.56E-03  4.23E-04
   217.50       6.03E-08  5.30E-06  1.84E-04  3.58E-03  3.91E-02  2.01E-01  3.90E-01  3.58E-01  7.98E-03  5.53E-04
   222.50       4.84E-07  4.16E-06  1.45E-04  2.82E-03  3.32E-02  1.85E-01  3.87E-01  3.81E-01  9.48E-03  6.33E-04
   227.50       5.95E-08  3.14E-06  9.83E-05  2.26E-03  2.82E-02  1.70E-01  3.85E-01  4.04E-01  1.07E-02  7.26E-04
   232.50       5.64E-08  4.02E-06  8.31E-05  1.79E-03  2.39E-02  1.54E-01  3.80E-01  4.26E-01  1.27E-02  9.70E-04
   237.50       0.00E+00  1.60E-06  5.70E-05  1.40E-03  2.01E-02  1.40E-01  3.74E-01  4.50E-01  1.41E-02  1.11E-03
   242.50       5.39E-08  1.10E-06  4.40E-05  1.07E-03  1.71E-02  1.28E-01  3.65E-01  4.72E-01  1.61E-02  1.37E-03
   247.50       0.00E+00  8.51E-07  3.37E-05  9.08E-04  1.44E-02  1.15E-01  3.57E-01  4.92E-01  1.86E-02  1.53E-03
   252.50       0.00E+00  1.17E-06  2.71E-05  7.00E-04  1.21E-02  1.05E-01  3.48E-01  5.12E-01  2.07E-02  1.76E-03
   257.50       0.00E+00  6.99E-07  2.12E-05  5.51E-04  1.03E-02  9.51E-02  3.39E-01  5.29E-01  2.33E-02  2.25E-03
   262.50       5.61E-08  3.85E-07  1.46E-05  4.68E-04  8.90E-03  8.64E-02  3.27E-01  5.48E-01  2.64E-02  2.59E-03
   267.50       0.00E+00  1.53E-07  1.26E-05  3.82E-04  7.33E-03  7.78E-02  3.18E-01  5.65E-01  2.93E-02  2.83E-03
   272.50       0.00E+00  0.00E+00  6.42E-06  2.85E-04  6.42E-03  7.04E-02  3.08E-01  5.80E-01  3.23E-02  3.29E-03
   277.50       0.00E+00  0.00E+00  5.97E-06  2.61E-04  5.45E-03  6.38E-02  2.96E-01  5.95E-01  3.56E-02  3.73E-03
   282.50       0.00E+00  0.00E+00  4.13E-06  1.83E-04  4.51E-03  5.74E-02  2.85E-01  6.09E-01  3.89E-02  4.35E-03
   287.50       0.00E+00  0.00E+00  2.91E-06  1.63E-04  3.77E-03  5.15E-02  2.75E-01  6.22E-01  4.28E-02  4.76E-03
   292.50       0.00E+00  1.59E-07  2.50E-06  1.20E-04  3.34E-03  4.72E-02  2.63E-01  6.35E-01  4.53E-02  5.70E-03
   297.50       0.00E+00  0.00E+00  2.28E-06  8.46E-05  2.70E-03  4.21E-02  2.52E-01  6.46E-01  5.06E-02  6.30E-03
   302.50       0.00E+00  3.80E-07  1.83E-06  8.19E-05  2.35E-03  3.79E-02  2.41E-01  6.58E-01  5.39E-02  6.94E-03
   307.50       0.00E+00  0.00E+00  1.33E-06  6.96E-05  2.08E-03  3.41E-02  2.30E-01  6.66E-01  5.92E-02  8.05E-03
   312.50       0.00E+00  0.00E+00  9.83E-07  5.82E-05  1.71E-03  3.08E-02  2.20E-01  6.75E-01  6.36E-02  9.10E-03
   317.50       0.00E+00  0.00E+00  1.52E-06  3.90E-05  1.42E-03  2.79E-02  2.11E-01  6.81E-01  6.82E-02  9.91E-03
   322.50       0.00E+00  0.00E+00  3.97E-07  3.74E-05  1.23E-03  2.48E-02  2.00E-01  6.88E-01  7.33E-02  1.19E-02
   327.50       0.00E+00  0.00E+00  4.34E-07  2.99E-05  1.05E-03  2.27E-02  1.91E-01  6.93E-01  7.90E-02  1.28E-02
   332.50       0.00E+00  0.00E+00  9.13E-07  2.45E-05  9.08E-04  2.05E-02  1.83E-01  6.99E-01  8.30E-02  1.43E-02
   337.50       0.00E+00  0.00E+00  3.54E-07  1.88E-05  7.68E-04  1.86E-02  1.74E-01  7.02E-01  8.90E-02  1.59E-02
   342.50       0.00E+00  0.00E+00  3.50E-07  1.42E-05  7.00E-04  1.69E-02  1.65E-01  7.06E-01  9.42E-02  1.72E-02
   347.50       0.00E+00  0.00E+00  3.54E-07  7.31E-06  5.62E-04  1.48E-02  1.57E-01  7.06E-01  1.02E-01  1.93E-02
   352.50       0.00E+00  0.00E+00  1.84E-07  9.45E-06  4.75E-04  1.37E-02  1.50E-01  7.10E-01  1.06E-01  2.12E-02
   357.50       0.00E+00  0.00E+00  5.25E-08  9.51E-06  4.25E-04  1.22E-02  1.42E-01  7.10E-01  1.12E-01  2.36E-02
   362.50       0.00E+00  0.00E+00  1.95E-07  7.70E-06  3.29E-04  1.08E-02  1.35E-01  7.08E-01  1.20E-01  2.60E-02
   367.50       0.00E+00  0.00E+00  0.00E+00  7.99E-06  3.06E-04  9.98E-03  1.27E-01  7.09E-01  1.25E-01  2.81E-02
   372.50       0.00E+00  0.00E+00  1.31E-07  6.84E-06  2.58E-04  8.93E-03  1.22E-01  7.06E-01  1.31E-01  3.12E-02
   377.50       0.00E+00  0.00E+00  0.00E+00  5.64E-06  2.28E-04  7.85E-03  1.15E-01  7.06E-01  1.38E-01  3.37E-02
   382.50       0.00E+00  0.00E+00  0.00E+00  1.73E-06  2.05E-04  7.13E-03  1.08E-01  7.02E-01  1.46E-01  3.65E-02
   387.50       0.00E+00  0.00E+00  0.00E+00  3.99E-06  1.51E-04  6.54E-03  1.03E-01  6.97E-01  1.53E-01  4.11E-02
   392.50       0.00E+00  0.00E+00  0.00E+00  1.98E-06  1.56E-04  5.94E-03  9.74E-02  6.95E-01  1.58E-01  4.35E-02
   397.50       0.00E+00  0.00E+00  0.00E+00  1.28E-06  1.01E-04  5.25E-03  9.18E-02  6.89E-01  1.67E-01  4.67E-02
   402.50       0.00E+00  0.00E+00  0.00E+00  1.73E-06  9.37E-05  4.63E-03  8.65E-02  6.86E-01  1.73E-01  5.00E-02
   407.50       0.00E+00  0.00E+00  2.77E-07  1.51E-06  8.91E-05  4.33E-03  8.11E-02  6.76E-01  1.83E-01  5.55E-02
   412.50       0.00E+00  0.00E+00  0.00E+00  1.95E-06  8.24E-05  3.96E-03  7.71E-02  6.70E-01  1.89E-01  6.05E-02
   417.50       0.00E+00  0.00E+00  0.00E+00  5.94E-07  6.85E-05  3.45E-03  7.37E-02  6.64E-01  1.96E-01  6.28E-02
   422.50       0.00E+00  0.00E+00  0.00E+00  6.18E-07  6.91E-05  3.32E-03  6.92E-02  6.59E-01  2.00E-01  6.82E-02
   427.50       0.00E+00  0.00E+00  0.00E+00  5.93E-07  4.52E-05  2.91E-03  6.49E-02  6.50E-01  2.07E-01  7.54E-02
   432.50       0.00E+00  0.00E+00  0.00E+00  1.49E-07  4.02E-05  2.56E-03  6.18E-02  6.43E-01  2.14E-01  7.89E-02
   437.50       0.00E+00  0.00E+00  0.00E+00  6.27E-07  4.54E-05  2.46E-03  5.81E-02  6.37E-01  2.19E-01  8.29E-02
   442.50       0.00E+00  0.00E+00  0.00E+00  1.92E-07  2.99E-05  2.05E-03  5.40E-02  6.22E-01  2.31E-01  9.05E-02
   447.50       0.00E+00  0.00E+00  0.00E+00  5.21E-07  3.33E-05  1.91E-03  5.14E-02  6.12E-01  2.38E-01  9.71E-02
   452.50       0.00E+00  0.00E+00  0.00E+00  6.10E-07  2.45E-05  1.78E-03  4.84E-02  6.01E-01  2.45E-01  1.03E-01
   457.50       0.00E+00  0.00E+00  0.00E+00  4.75E-07  3.00E-05  1.63E-03  4.58E-02  5.94E-01  2.49E-01  1.10E-01
   462.50       0.00E+00  0.00E+00  0.00E+00  1.85E-07  2.32E-05  1.38E-03  4.30E-02  5.84E-01  2.56E-01  1.15E-01
   467.50       0.00E+00  0.00E+00  0.00E+00  4.50E-08  2.24E-05  1.35E-03  4.02E-02  5.69E-01  2.66E-01  1.23E-01
   472.50       0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.61E-05  1.20E-03  3.77E-02  5.62E-01  2.71E-01  1.28E-01
