Tables A.5, B.7, and B.8. The X-ray efficiency ([cm^2 sec]^{−1} [keV/u]^{−1}) of outgoing photons as a function of initial ion energy including opacity effects.  No opacity effects and the viewing angles of 0°, 80°, and 90° are displayed for atmosphere 1. The efficiency shown here is that solely from direct excitation collisions for both oxygen and sulfur.  We also include the X-ray efficiencies that correspond to the JEDI energy bins at the time of writing.

 Viewing Angle:    0.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
      315.47           0.07869    0.05952    0.05684    0.00268       300.00           0.02016    0.01753    0.00230    0.00027    0.00004    0.00001    0.00001    0.00000
      350.00           0.13473    0.07956    0.07458    0.00498       350.00           0.05517    0.04404    0.00894    0.00163    0.00039    0.00010    0.00008    0.00000
      379.38           0.21743    0.09657    0.08886    0.00771       400.00           0.11464    0.08018    0.02425    0.00651    0.00209    0.00079    0.00081    0.00000
      400.00           0.32600    0.10800    0.09788    0.01012       450.00           0.19378    0.11267    0.04648    0.01751    0.00761    0.00404    0.00547    0.00000
      450.00           0.44598    0.13258    0.11523    0.01735       500.00           0.28206    0.12890    0.06645    0.03262    0.01813    0.01314    0.02282    0.00000
      456.25           0.69708    0.13586    0.11738    0.01848       600.00           0.42677    0.12277    0.07801    0.05083    0.03786    0.04054    0.09677    0.00000
      500.00           0.85368    0.15371    0.12719    0.02652       700.00           0.49998    0.10418    0.07044    0.05097    0.04351    0.05857    0.17232    0.00000
      600.00           0.87515    0.18250    0.13522    0.04728       800.00           0.51949    0.08836    0.06100    0.04553    0.04151    0.06369    0.21940    0.00001
      700.00           0.84694    0.19474    0.12949    0.06525       900.00           0.50726    0.07571    0.05290    0.03995    0.03742    0.06190    0.23937    0.00001
      800.00           0.79297    0.19583    0.11876    0.07706      1000.00           0.47772    0.06546    0.04635    0.03495    0.03332    0.05688    0.24074    0.00001
      900.00           0.73347    0.19006    0.10744    0.08263      1250.00           0.39125    0.04740    0.03475    0.02604    0.02534    0.04458    0.21312    0.00001
     1000.00           0.65857    0.18132    0.09713    0.08419      1500.00           0.31817    0.03547    0.02711    0.02007    0.01987    0.03553    0.18011    0.00001
     1250.00           0.52188    0.15597    0.07653    0.07945      1750.00           0.26136    0.02743    0.02166    0.01593    0.01601    0.02897    0.15135    0.00002
     1500.00           0.42335    0.13409    0.06245    0.07164      2000.00           0.21695    0.02147    0.01760    0.01283    0.01314    0.02400    0.12789    0.00002
     1750.00           0.11495    0.11495    0.05179    0.06316         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     2000.00           0.10015    0.10015    0.04391    0.05623         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     5000.00           0.02573    0.02573    0.00932    0.01641         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    10000.00           0.00373    0.00373    0.00107    0.00266         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    25000.00           0.00013    0.00013    0.00005    0.00009         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000

 Viewing Angle:   80.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
       10.00           0.00000    0.00000    0.00000    0.00000         5.31           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       11.62           0.00000    0.00000    0.00000    0.00000         6.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       12.66           0.00000    0.00000    0.00000    0.00000         6.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       13.79           0.00000    0.00000    0.00000    0.00000         7.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       15.02           0.00000    0.00000    0.00000    0.00000         8.71           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       16.18           0.00000    0.00000    0.00000    0.00000        10.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       17.43           0.00000    0.00000    0.00000    0.00000        11.14           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       18.77           0.00000    0.00000    0.00000    0.00000        12.27           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       20.23           0.00000    0.00000    0.00000    0.00000        13.52           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       22.28           0.00000    0.00000    0.00000    0.00000        14.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       24.54           0.00000    0.00000    0.00000    0.00000        16.66           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       27.04           0.00000    0.00000    0.00000    0.00000        18.64           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       29.78           0.00000    0.00000    0.00000    0.00000        20.85           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       33.32           0.00000    0.00000    0.00000    0.00000        23.33           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       37.28           0.00000    0.00000    0.00000    0.00000        24.82           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       41.70           0.00000    0.00000    0.00000    0.00000        26.40           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       46.65           0.00000    0.00000    0.00000    0.00000        28.09           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       50.00           0.00000    0.00000    0.00000    0.00000        29.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       52.81           0.00000    0.00000    0.00000    0.00000        31.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       56.18           0.00000    0.00000    0.00000    0.00000        34.03           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       59.77           0.00000    0.00000    0.00000    0.00000        36.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       63.78           0.00000    0.00000    0.00000    0.00000        38.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       68.07           0.00000    0.00000    0.00000    0.00000        43.29           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       72.64           0.00000    0.00000    0.00000    0.00000        48.35           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       75.00           0.00000    0.00000    0.00000    0.00000        50.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       77.52           0.00000    0.00000    0.00000    0.00000        54.01           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       86.59           0.00001    0.00001    0.00001    0.00000        60.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       96.71           0.00002    0.00002    0.00002    0.00000        69.95           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      108.02           0.00005    0.00005    0.00005    0.00000        75.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      100.00           0.00003    0.00003    0.00003    0.00000        81.11           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      120.65           0.00014    0.00014    0.00014    0.00000        94.05           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      125.00           0.00020    0.00020    0.00020    0.00000       100.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      139.90           0.00052    0.00052    0.00052    0.00000       109.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      150.00           0.00099    0.00098    0.00098    0.00000       125.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      162.22           0.00175    0.00175    0.00174    0.00001       131.16           0.00001    0.00001    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      175.00           0.00317    0.00315    0.00313    0.00002       150.00           0.00003    0.00003    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      188.11           0.00515    0.00511    0.00507    0.00004       157.73           0.00005    0.00004    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      200.00           0.00764    0.00753    0.00745    0.00007       175.00           0.00013    0.00013    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      218.12           0.01284    0.01257    0.01240    0.00017       189.69           0.00031    0.00030    0.00001    0.00000    0.00000    0.00000    0.00000    0.00000
      250.00           0.02539    0.02491    0.02437    0.00054       200.00           0.00060    0.00058    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000
      262.32           0.03242    0.03054    0.02977    0.00077       228.12           0.00216    0.00203    0.00013    0.00001    0.00000    0.00000    0.00000    0.00000
      300.00           0.05421    0.05028    0.04835    0.00193       250.00           0.00472    0.00435    0.00034    0.00003    0.00000    0.00000    0.00000    0.00000
      315.47           0.07758    0.05933    0.05665    0.00268       300.00           0.01919    0.01663    0.00225    0.00027    0.00004    0.00001    0.00001    0.00000
      350.00           0.13105    0.07923    0.07426    0.00497       350.00           0.05181    0.04099    0.00867    0.00160    0.00039    0.00010    0.00008    0.00000
      379.38           0.20818    0.09607    0.08838    0.00769       400.00           0.10633    0.07301    0.02332    0.00635    0.00206    0.00079    0.00080    0.00000
      400.00           0.30754    0.10736    0.09726    0.01010       450.00           0.17794    0.09983    0.04424    0.01696    0.00748    0.00399    0.00544    0.00000
      450.00           0.41753    0.13150    0.11421    0.01729       500.00           0.25742    0.11030    0.06238    0.03137    0.01776    0.01297    0.02265    0.00000
      456.25           0.64176    0.13471    0.11629    0.01842       600.00           0.38557    0.09587    0.07025    0.04762    0.03657    0.03972    0.09554    0.00000
      500.00           0.77415    0.15203    0.12562    0.02641       700.00           0.44437    0.07267    0.05965    0.04568    0.04103    0.05659    0.16875    0.00000
      600.00           0.77907    0.17905    0.13209    0.04696       800.00           0.45002    0.05414    0.04776    0.03827    0.03764    0.06014    0.21207    0.00001
      700.00           0.73416    0.18878    0.12430    0.06448       900.00           0.42419    0.04034    0.03773    0.03083    0.03206    0.05643    0.22680    0.00001
      800.00           0.66390    0.18682    0.11125    0.07557      1000.00           0.38166    0.03017    0.02981    0.02433    0.02647    0.04928    0.22159    0.00001
      900.00           0.55280    0.17778    0.09765    0.08012      1250.00           0.27002    0.01547    0.01713    0.01358    0.01595    0.03228    0.17560    0.00001
     1000.00           0.44503    0.16572    0.08527    0.08044      1500.00           0.18621    0.00859    0.01035    0.00794    0.00980    0.02095    0.12857    0.00001
     1250.00           0.31398    0.13287    0.06070    0.07217      1750.00           0.12937    0.00523    0.00655    0.00491    0.00630    0.01393    0.09243    0.00001
