Figure 3. Sulfur charge state distribution as a function of ion energy.  The high charge state peaks have dramatically shifted to lower energies than previous models produced. Ozak et al. (2010) had the peaks of S^{6+} and S^{14+} at ∼500 keV/u and ∼2.2 MeV/u, respectively.  Due to the use of newly developed SIM cross-sections, the peaks have now shifted down to energies of ∼275keV/u and ∼900 keV/u, respectively.

 Energy [keV/u]        S        S+       S2+       S3+       S4+       S5+       S6+       S7+       S8+       S9+      S10+      S11+      S12+      S13+      S14+      S15+      S16+
    24.50       3.26E-01  4.09E-01  2.06E-01  5.38E-02  5.43E-03  3.61E-04  1.02E-05  9.30E-08  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    25.50       3.21E-01  4.09E-01  2.08E-01  5.52E-02  5.83E-03  3.86E-04  1.17E-05  9.25E-08  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    26.50       3.17E-01  4.10E-01  2.10E-01  5.69E-02  6.29E-03  4.34E-04  1.27E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    27.50       3.12E-01  4.10E-01  2.12E-01  5.86E-02  6.72E-03  4.73E-04  1.63E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    28.50       3.08E-01  4.10E-01  2.14E-01  6.04E-02  7.30E-03  5.32E-04  1.91E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    29.50       3.03E-01  4.10E-01  2.16E-01  6.20E-02  7.67E-03  5.68E-04  1.73E-05  1.95E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    30.50       2.98E-01  4.10E-01  2.19E-01  6.42E-02  8.37E-03  6.41E-04  1.87E-05  9.90E-08  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    31.50       2.93E-01  4.10E-01  2.21E-01  6.61E-02  8.94E-03  6.97E-04  2.48E-05  1.05E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    32.50       2.88E-01  4.09E-01  2.24E-01  6.82E-02  9.58E-03  7.61E-04  3.17E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    33.50       2.83E-01  4.09E-01  2.27E-01  7.05E-02  1.03E-02  8.45E-04  3.44E-05  1.01E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    34.50       2.78E-01  4.08E-01  2.29E-01  7.25E-02  1.09E-02  9.22E-04  4.06E-05  1.06E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    35.50       2.73E-01  4.07E-01  2.32E-01  7.48E-02  1.17E-02  1.00E-03  3.95E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    36.50       2.68E-01  4.06E-01  2.35E-01  7.74E-02  1.25E-02  1.10E-03  4.56E-05  1.13E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    37.50       2.63E-01  4.05E-01  2.38E-01  7.96E-02  1.33E-02  1.20E-03  5.27E-05  1.12E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    38.50       2.57E-01  4.03E-01  2.41E-01  8.23E-02  1.42E-02  1.31E-03  6.00E-05  3.42E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    39.50       2.52E-01  4.02E-01  2.44E-01  8.50E-02  1.51E-02  1.42E-03  7.09E-05  1.18E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    40.50       2.47E-01  4.00E-01  2.48E-01  8.79E-02  1.61E-02  1.58E-03  7.90E-05  1.15E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    41.50       2.41E-01  3.98E-01  2.51E-01  9.07E-02  1.70E-02  1.67E-03  8.11E-05  4.84E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    42.50       2.36E-01  3.96E-01  2.54E-01  9.37E-02  1.83E-02  1.87E-03  9.58E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    43.50       2.31E-01  3.93E-01  2.58E-01  9.67E-02  1.94E-02  2.03E-03  9.49E-05  1.24E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    44.50       2.25E-01  3.91E-01  2.61E-01  9.99E-02  2.06E-02  2.17E-03  1.09E-04  3.76E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    45.50       2.19E-01  3.88E-01  2.64E-01  1.03E-01  2.18E-02  2.38E-03  1.20E-04  6.18E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    46.50       2.14E-01  3.85E-01  2.68E-01  1.07E-01  2.33E-02  2.62E-03  1.45E-04  3.70E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    47.50       2.09E-01  3.82E-01  2.71E-01  1.10E-01  2.45E-02  2.79E-03  1.47E-04  7.78E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    48.50       2.03E-01  3.79E-01  2.75E-01  1.14E-01  2.61E-02  3.02E-03  1.68E-04  1.17E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    49.50       1.99E-01  3.76E-01  2.78E-01  1.17E-01  2.74E-02  3.30E-03  1.81E-04  9.18E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    50.50       1.92E-01  3.72E-01  2.81E-01  1.21E-01  2.91E-02  3.54E-03  1.93E-04  6.62E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    51.50       1.87E-01  3.68E-01  2.85E-01  1.25E-01  3.07E-02  3.84E-03  2.11E-04  8.02E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    52.50       1.80E-01  3.64E-01  2.89E-01  1.30E-01  3.26E-02  4.15E-03  2.32E-04  1.48E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    53.50       1.74E-01  3.60E-01  2.92E-01  1.35E-01  3.47E-02  4.54E-03  2.56E-04  1.51E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    54.50       1.68E-01  3.55E-01  2.96E-01  1.40E-01  3.66E-02  4.88E-03  2.80E-04  1.81E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    55.50       1.62E-01  3.50E-01  2.99E-01  1.45E-01  3.86E-02  5.29E-03  3.10E-04  1.68E-06  1.40E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    56.50       1.56E-01  3.45E-01  3.02E-01  1.50E-01  4.08E-02  5.77E-03  3.50E-04  2.02E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    57.50       1.50E-01  3.40E-01  3.05E-01  1.55E-01  4.31E-02  6.19E-03  3.54E-04  1.44E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    58.50       1.45E-01  3.35E-01  3.08E-01  1.60E-01  4.52E-02  6.59E-03  4.12E-04  2.61E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    59.50       1.39E-01  3.30E-01  3.10E-01  1.65E-01  4.78E-02  7.17E-03  4.41E-04  2.95E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    60.50       1.34E-01  3.25E-01  3.13E-01  1.70E-01  5.02E-02  7.77E-03  4.69E-04  1.65E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    61.50       1.29E-01  3.19E-01  3.16E-01  1.76E-01  5.24E-02  8.31E-03  5.23E-04  3.88E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    62.50       1.23E-01  3.13E-01  3.18E-01  1.81E-01  5.52E-02  8.99E-03  5.69E-04  5.24E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    63.50       1.18E-01  3.06E-01  3.19E-01  1.88E-01  5.83E-02  9.69E-03  6.40E-04  4.08E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    64.50       1.13E-01  3.02E-01  3.21E-01  1.92E-01  6.04E-02  1.02E-02  6.87E-04  5.09E-06  1.53E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    65.50       1.09E-01  2.95E-01  3.23E-01  1.98E-01  6.35E-02  1.10E-02  7.53E-04  5.27E-06  1.52E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    66.50       1.04E-01  2.89E-01  3.24E-01  2.04E-01  6.66E-02  1.19E-02  7.84E-04  8.29E-06  3.06E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    67.50       9.95E-02  2.83E-01  3.25E-01  2.09E-01  6.95E-02  1.26E-02  8.72E-04  6.18E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    68.50       9.49E-02  2.77E-01  3.26E-01  2.15E-01  7.30E-02  1.35E-02  9.86E-04  7.68E-06  1.58E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    69.50       9.08E-02  2.70E-01  3.26E-01  2.21E-01  7.62E-02  1.45E-02  1.10E-03  1.05E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    70.50       8.66E-02  2.64E-01  3.27E-01  2.27E-01  7.93E-02  1.54E-02  1.19E-03  1.26E-05  1.61E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
